Commodity_Code,Commodity_Description,Country_Code,Country_Name,Market_Year,Calendar_Year,Month,Attribute_ID,Attribute_Description,Unit_ID,Unit_Description,Value
0422110,"Rice, Milled",NS,Suriname,1962,2006,07,004,Area Harvested,04,(1000 HA),27.0000
0422110,"Rice, Milled",NS,Suriname,1962,2006,07,020,Beginning Stocks,08,(1000 MT),0.0000
0422110,"Rice, Milled",NS,Suriname,1962,2006,07,125,Domestic Consumption,08,(1000 MT),28.0000
0422110,"Rice, Milled",NS,Suriname,1962,2006,07,176,Ending Stocks,08,(1000 MT),0.0000
0422110,"Rice, Milled",NS,Suriname,1962,2006,07,088,Exports,08,(1000 MT),22.0000
0422110,"Rice, Milled",NS,Suriname,1962,2006,07,057,Imports,08,(1000 MT),0.0000
0422110,"Rice, Milled",NS,Suriname,1962,2006,07,182,Milling Rate (.9999),08,(1000 MT),6300.0000
0422110,"Rice, Milled",NS,Suriname,1962,2006,07,028,Production,08,(1000 MT),50.0000
0422110,"Rice, Milled",NS,Suriname,1962,2006,07,054,Rough Production,08,(1000 MT),79.0000
0422110,"Rice, Milled",NS,Suriname,1962,2006,07,178,Total Distribution,08,(1000 MT),50.0000
0422110,"Rice, Milled",NS,Suriname,1962,2006,07,086,Total Supply,08,(1000 MT),50.0000
0422110,"Rice, Milled",NS,Suriname,1962,2006,07,113,TY Exports,08,(1000 MT),22.0000
0422110,"Rice, Milled",NS,Suriname,1962,2006,07,084,TY Imp. from U.S.,08,(1000 MT),0.0000
0422110,"Rice, Milled",NS,Suriname,1962,2006,07,081,TY Imports,08,(1000 MT),0.0000
0422110,"Rice, Milled",NS,Suriname,1962,2006,07,184,Yield,26,(MT/HA),2.9300
0422110,"Rice, Milled",NS,Suriname,1963,2006,07,004,Area Harvested,04,(1000 HA),28.0000
0422110,"Rice, Milled",NS,Suriname,1963,2006,07,020,Beginning Stocks,08,(1000 MT),0.0000
0422110,"Rice, Milled",NS,Suriname,1963,2006,07,125,Domestic Consumption,08,(1000 MT),33.0000
0422110,"Rice, Milled",NS,Suriname,1963,2006,07,176,Ending Stocks,08,(1000 MT),0.0000
0422110,"Rice, Milled",NS,Suriname,1963,2006,07,088,Exports,08,(1000 MT),14.0000
0422110,"Rice, Milled",NS,Suriname,1963,2006,07,057,Imports,08,(1000 MT),0.0000
0422110,"Rice, Milled",NS,Suriname,1963,2006,07,182,Milling Rate (.9999),08,(1000 MT),6300.0000
0422110,"Rice, Milled",NS,Suriname,1963,2006,07,028,Production,08,(1000 MT),47.0000
0422110,"Rice, Milled",NS,Suriname,1963,2006,07,054,Rough Production,08,(1000 MT),75.0000
0422110,"Rice, Milled",NS,Suriname,1963,2006,07,178,Total Distribution,08,(1000 MT),47.0000
0422110,"Rice, Milled",NS,Suriname,1963,2006,07,086,Total Supply,08,(1000 MT),47.0000
0422110,"Rice, Milled",NS,Suriname,1963,2006,07,113,TY Exports,08,(1000 MT),14.0000
0422110,"Rice, Milled",NS,Suriname,1963,2006,07,084,TY Imp. from U.S.,08,(1000 MT),0.0000
0422110,"Rice, Milled",NS,Suriname,1963,2006,07,081,TY Imports,08,(1000 MT),0.0000
0422110,"Rice, Milled",NS,Suriname,1963,2006,07,184,Yield,26,(MT/HA),2.6800
0422110,"Rice, Milled",NS,Suriname,1964,2006,07,004,Area Harvested,04,(1000 HA),30.0000
0422110,"Rice, Milled",NS,Suriname,1964,2006,07,020,Beginning Stocks,08,(1000 MT),0.0000
0422110,"Rice, Milled",NS,Suriname,1964,2006,07,125,Domestic Consumption,08,(1000 MT),34.0000
0422110,"Rice, Milled",NS,Suriname,1964,2006,07,176,Ending Stocks,08,(1000 MT),0.0000
