Partner,Year,Month,NetWeight,TradeValue,CumulativeNetWeight,CumulativeTradeValue,UnitValue,CumulativeUnitValue
USA,2021,4,2.716185,2.766342,5.631132,4.977573,1.0184659734149184,0.8839382561090735
USA,2021,5,1.110381,1.119391,6.741513,6.096964,1.0081143319275094,0.9043910469356062
USA,2021,6,0.614428,0.632058,7.355941,6.729022,1.028693353818511,0.914773786249781
USA,2021,7,1.529194,2.197847,8.885135,8.926869,1.4372584511840878,1.0046970586265713
USA,2021,8,1.226547,1.326877,10.111682,10.253746,1.0817987406923664,1.0140494924583268
USA,2021,9,1.227063,1.271704,11.338745,11.52545,1.0363803651483257,1.016466108021655
USA,2021,10,1.19467,1.183207,12.533415,12.708656999999999,0.9904048816828078,1.0139819833620765
others,2016,1,0.0119,0.018956,0.0119,0.018956,1.592941176470588,1.592941176470588
others,2016,2,0.0557,0.060896,0.0676,0.079852,1.0932854578096949,1.181242603550296
others,2016,3,0.054357,0.058661,0.12195700000000001,0.138513,1.0791802343764372,1.1357527653189237
others,2016,6,0.08049,0.127417,0.20244700000000002,0.26593,1.5830165237917753,1.3135783686594515
others,2016,7,0.038042,0.045177,0.240489,0.311107,1.1875558593133906,1.2936433683037478
others,2016,8,0.0427,0.044747,0.283189,0.355854,1.0479391100702575,1.2565954186073611
others,2016,9,0.04085,0.039941000000000004,0.324039,0.395795,0.977747858017136,1.2214424806890527
others,2016,11,0.000934,0.003201,0.324973,0.398996,3.4271948608137044,1.2277820003507984
others,2016,12,0.022625,0.025453,0.347598,0.424449,1.1249944751381216,1.2210916058205168
others,2017,2,0.00094,0.001962,0.00094,0.001962,2.0872340425531917,2.0872340425531917
others,2017,4,0.00094,0.001976,0.00188,0.0039380000000000005,2.1021276595744682,2.09468085106383
others,2017,5,0.0005,0.001432,0.00238,0.00537,2.864,2.256302521008403
others,2017,6,0.02659,0.033472,0.02897,0.038842,1.2588191049266644,1.3407663099758371
others,2017,7,0.018,0.019829,0.04697,0.058671,1.101611111111111,1.2491164573131788
others,2017,8,0.024491000000000002,0.031247,0.071461,0.089918,1.2758564370585113,1.2582807405437932
others,2017,9,0.02312,0.024563,0.094581,0.114481,1.0624134948096886,1.2104016662966135
others,2017,10,0.006829999999999999,0.015091,0.101411,0.129572,2.2095168374816985,1.2776917691374703
others,2017,11,0.01798,0.021504000000000002,0.119391,0.15107600000000002,1.195995550611791,1.26538851337203
others,2018,1,0.00217,0.009175,0.00217,0.009175,4.228110599078342,4.228110599078342
others,2018,2,0.014972,0.019763,0.017141999999999998,0.028938,1.3199973283462463,1.688134406720336
others,2018,3,0.012091000000000001,0.017563,0.029233000000000002,0.046501,1.452568025804317,1.590702288509561
others,2018,4,0.011499,0.015179,0.040732000000000004,0.06168,1.3200278285068265,1.5142885200824903
others,2018,5,0.006729000000000001,0.016079999999999997,0.047461,0.07776,2.3896567097637087,1.638397842439055
others,2018,6,0.00048300000000000003,0.00259,0.047944,0.08034999999999999,5.362318840579709,1.6759135658267976
others,2018,7,0.002162,0.008513,0.050106,0.088863,3.937557816836263,1.7735001796192074
others,2018,8,0.012152,0.018599,0.062258,0.107462,1.5305299539170507,1.7260753638086672
others,2018,10,0.011941,0.018209,0.074199,0.125671,1.524914161293024,1.6937020714564888
others,2018,11,0.036685,0.049726,0.11088400000000001,0.175397,1.3554858934169278,1.5818062118971175
others,2019,1,0.01151,0.014548,0.01151,0.014548,1.2639443961772372,1.2639443961772372
others,2019,3,0.01088,0.013926,0.02239,0.028474,1.2799632352941175,1.2717284502009825
others,2019,4,0.01353,0.021568999999999998,0.03592,0.050043,1.594161123429416,1.3931792873051223
others,2019,5,0.018948,0.023749,0.054868,0.073792,1.2533776651889381,1.344900488444995
others,2019,6,0.01536,0.020012,0.070228,0.093804,1.3028645833333332,1.3357065557897134
others,2019,7,0.01462,0.018451,0.084848,0.112255,1.2620383036935705,1.3230129172166696
others,2019,8,0.01448,0.018403,0.099328,0.130658,1.270925414364641,1.3154196198453607
others,2019,9,0.015354999999999999,0.023356000000000002,0.114683,0.15401399999999998,1.5210680560078154,1.3429540559629587
others,2019,10,0.027243,0.071177,0.141926,0.225191,2.612671144881254,1.5866789735495963
others,2019,11,0.02177,0.027602,0.163696,0.252793,1.26789159393661,1.5442833056397223
others,2019,12,0.01794,0.022983,0.181636,0.275776,1.2811036789297658,1.5182893259045565
others,2020,5,0.0015,0.003178,0.0015,0.003178,2.1186666666666665,2.1186666666666665
others,2020,6,0.02025,0.0196,0.021750000000000002,0.022778,0.9679012345679012,1.0472643678160918
others,2020,7,0.0018,0.0087,0.02355,0.031478,4.833333333333333,1.3366454352441612
others,2021,1,2e-06,1.9e-05,2e-06,1.9e-05,9.500000000000002,9.500000000000002
others,2021,3,0.001809,0.005027,0.0018110000000000001,0.005046,2.7788833609729133,2.7863059083379347
others,2021,4,0.0011,0.002611,0.0029110000000000004,0.007657000000000001,2.3736363636363635,2.6303675712813464
others,2021,6,0.000799,0.001896,0.00371,0.009553,2.3729662077596996,2.574932614555256
others,2021,7,0.005996,0.023433,0.009706,0.032986,3.9081054036024017,3.398516381619617
others,2021,8,0.002072,0.0056,0.011778,0.038585999999999995,2.7027027027027026,3.2761079979623022
total,2016,1,0.742338,1.0547309999999999,0.742338,1.0547309999999999,1.42082312908675,1.42082312908675
total,2016,2,0.872679,1.1716010000000001,1.615017,2.226332,1.3425337380640534,1.3785192354012374
total,2016,3,1.080922,1.5020930000000001,2.695939,3.728425,1.3896405106011351,1.3829782498787992
total,2016,4,1.303898,1.870965,3.9998370000000003,5.59939,1.4349013496454477,1.3999045461102537
total,2016,5,1.2715670000000001,1.730081,5.271404,7.329471,1.3605897290508482,1.3904210339408627
total,2016,6,0.938283,1.378609,6.209687000000001,8.70808,1.4692891163966522,1.4023379922369679
total,2016,7,1.2203689999999998,1.751784,7.430056,10.459864,1.4354543584768216,1.4077772765104326
total,2016,8,1.7809849999999998,2.511707,9.211041,12.971571,1.4102909345109589,1.4082633005324807
total,2016,9,1.627658,2.25871,10.838699,15.230281,1.3877055253622077,1.405176119384808
total,2016,10,0.991749,1.4062810000000001,11.830448,16.636562,1.4179807592445268,1.40624953509791
total,2016,11,1.3301910000000001,1.844368,13.160639,18.48093,1.3865437369520617,1.4042578023757053
total,2016,12,1.9602389999999998,1.707279,15.120878,20.188209,0.8709545111590985,1.33512147905697
total,2017,1,0.90118,1.250759,0.90118,1.250759,1.387912514702945,1.387912514702945
total,2017,2,0.904872,1.231737,1.806052,2.4824960000000003,1.3612278863750895,1.374542925674344
total,2017,3,1.531923,2.076193,3.337975,4.558689,1.3552854810587738,1.3657049558489802
total,2017,4,0.977913,1.351743,4.315888,5.910432,1.3822732697080413,1.3694590777147135
total,2017,5,0.8177599999999999,1.118229,5.133648,7.028661,1.367429319115633,1.369135749081355
total,2017,6,1.8430959999999998,2.5094990000000004,6.976744,9.538160000000001,1.3615671674183008,1.367136303123635
total,2017,7,2.15507,2.945131,9.131813999999999,12.483291000000001,1.366605725104057,1.367011088924939
total,2017,8,1.652253,2.334077,10.784067,14.817368,1.412663193832906,1.3740055583853474
total,2017,9,1.2852130000000002,1.720768,12.06928,16.538136,1.3388971322263312,1.370266991900097
total,2017,10,1.343519,1.9067900000000002,13.412799,18.444926000000002,1.4192504906890042,1.3751735189649827
total,2017,11,1.305012,1.945688,14.717811,20.390614,1.4909349492571715,1.3854379567722401
total,2017,12,1.2833299999999999,1.276209,16.001141,21.666823,0.994451154418583,1.3540798746789369
total,2018,1,1.820655,1.7979299999999998,1.820655,1.7979299999999998,0.9875182283299142,0.9875182283299142
total,2018,2,1.988148,1.947272,3.808803,3.745202,0.9794401624023965,0.9833015779498178
total,2018,3,2.5975349999999997,2.684517,6.406338,6.4297189999999995,1.0334863630326445,1.0036496669392092
total,2018,4,2.428726,2.598645,8.835064,9.028364,1.0699621941709356,1.0218787322876213
total,2018,5,1.246748,1.261408,10.081812,10.289772,1.0117585911507379,1.0206272443882112
total,2018,6,0.83827,0.7713399999999999,10.920082,11.061112,0.9201569899912916,1.0129147381860317
total,2018,7,1.712642,1.8167289999999998,12.632724,12.877841,1.0607756904245018,1.0194033369208415
total,2018,8,2.215805,2.271798,14.848529,15.149638999999999,1.0252698229311694,1.020278776436373
total,2018,9,1.870318,1.822386,16.718847,16.972025,0.9743722725226406,1.0151432691500795
total,2018,10,2.238672,2.11127,18.957519,19.083295,0.9430903678609461,1.006634623444133
total,2018,11,1.638295,1.529642,20.595814,20.612937,0.9336792213856479,1.0008313825323922
total,2018,12,1.39026,1.252951,21.986074000000002,21.865887999999998,0.9012350207874785,0.9945335397306493
total,2019,1,1.099365,1.395339,1.099365,1.395339,1.269222687642412,1.269222687642412
total,2019,2,2.295925,2.8368290000000003,3.39529,4.232168000000001,1.2355930616200443,1.2464820383531305
total,2019,3,2.4062410000000005,2.86098,5.801531000000001,7.093148,1.1889831484045028,1.2226338185558259
total,2019,4,1.2137090000000001,1.468478,7.01524,8.561626,1.2099094593514588,1.2204323729480389
total,2019,5,1.0469490000000001,1.240516,8.062189,9.802142,1.1848867518857173,1.215816448857748
total,2019,6,1.0636329999999998,1.2849270000000002,9.125822,11.087069,1.2080548459854108,1.2149118183545549
total,2019,7,1.172198,1.423663,10.298020000000001,12.510732,1.214524338038454,1.2148677124340406
total,2019,8,2.516866,2.962495,12.814886000000001,15.473227000000001,1.177057101967288,1.2074416424773502
total,2019,9,2.025751,2.46618,14.840637000000001,17.939407,1.2174151709662244,1.2088030318375147
total,2019,10,2.127632,2.526979,16.968269,20.466386,1.1876955225339718,1.2061563851916774
total,2019,11,1.9018970000000002,2.292164,18.870166,22.75855,1.2051988093992472,1.2060598724992668
total,2019,12,1.416635,1.3650909999999998,20.286801,24.123641,0.9636151866924082,1.1891298682330447
total,2020,1,1.5538806506024097,1.387163,1.5538806506024097,1.387163,0.8927088444419612,0.8927088444419612
total,2020,2,2.0894695662650604,1.818089,3.64335021686747,3.2052519999999998,0.8701198760457877,0.8797540201215834
total,2020,3,1.4113069999999999,1.252514,5.05465721686747,4.4577659999999995,0.8874851467469516,0.8819126221110235
total,2020,4,0.81585,0.758083,5.87050721686747,5.2158489999999995,0.9291940920512349,0.8884835342700083
total,2020,5,1.2297350000000002,1.037772,7.10024221686747,6.253621,0.8438988887849819,0.880761642911812
total,2020,6,2.397318,2.014823,9.49756021686747,8.268443999999999,0.8404487848504036,0.8705861096111204
total,2020,7,1.526678,1.280736,11.02423821686747,9.54918,0.8389038159978726,0.8661986263494761
total,2020,8,1.392747,1.1141610000000002,12.41698521686747,10.663340999999999,0.7999737209988607,0.8587705319576859
total,2020,9,1.5181719999999999,1.1748939999999999,13.93515721686747,11.838235,0.7738872802291177,0.849522887741137
total,2020,10,3.082306,2.0813289999999998,17.01746321686747,13.919564,0.675250607824142,0.8179576369645462
total,2020,11,2.165098,1.7228219999999999,19.18256121686747,15.642385999999998,0.7957247200819547,0.8154482513130441
total,2020,12,0.977911,0.751843,20.16047221686747,16.394229,0.7688255884226683,0.8131867559274528
total,2021,1,1.095757,0.800972,1.095757,0.800972,0.7309759371831528,0.7309759371831528
total,2021,2,0.777276,0.63166,1.873033,1.432632,0.8126585665838133,0.7648728025614071
total,2021,3,1.373946,1.200189,3.246979,2.632821,0.8735343310435781,0.8108524878048179
total,2021,4,2.998194,3.16307,6.245172999999999,5.795890999999999,1.054991771713238,0.9280593187730748
total,2021,5,1.110381,1.119391,7.355554,6.9152819999999995,1.0081143319275094,0.9401442773719015
total,2021,6,0.615227,0.633954,7.970781,7.549236,1.030439171232732,0.9471137144528247
total,2021,7,1.5351899999999998,2.2212799999999997,9.505970999999999,9.770515999999999,1.4469088516730828,1.0278293506260434
total,2021,8,1.2286190000000001,1.3324770000000001,10.73459,11.102993,1.0845323082257396,1.0343192427470447
total,2021,9,1.227063,1.271704,11.961653,12.374697,1.0363803651483257,1.0345306789956203
total,2021,10,1.19467,1.183207,13.156323,13.557903999999999,0.9904048816828078,1.0305238021292118
