Partner,Year,Month,NetWeight,TradeValue,CumulativeNetWeight,CumulativeTradeValue,UnitValue,CumulativeUnitValue
Netherlands,2016,3,0.078951,0.074935,0.24906099999999998,0.238683,0.9491330065483655,0.9583314930880388
Netherlands,2016,4,0.097795,0.095998,0.346856,0.334681,0.9816248274451659,0.9648989782503402
Netherlands,2016,5,0.158223,0.15658,0.5050790000000001,0.491261,0.9896159218318449,0.972641903543802
Netherlands,2016,6,0.083537,0.081703,0.588616,0.572964,0.9780456564157199,0.9734088098182856
Netherlands,2016,7,0.03946,0.04006,0.628076,0.613024,1.015205271160669,0.9760347473872589
Netherlands,2016,8,0.197024,0.190013,0.8251,0.803037,0.9644155026798765,0.9732602108835293
Netherlands,2016,9,0.086257,0.096203,0.911357,0.89924,1.1153065838134875,0.9867044418378309
Netherlands,2016,10,0.0546,0.054384,0.965957,0.953624,0.996043956043956,0.9872323509224531
Netherlands,2016,11,0.105138,0.114807,1.071095,1.068431,1.0919648462021345,0.9975128256597221
Netherlands,2016,12,0.038907,0.043965,1.110002,1.112396,1.13000231320842,1.0021567528707156
Netherlands,2017,1,0.06954,0.078199,0.06954,0.078199,1.1245182628702906,1.1245182628702906
Netherlands,2017,2,0.094448,0.100181,0.16398800000000002,0.17838,1.0607000677621548,1.0877625192087226
Netherlands,2017,3,0.124956,0.131228,0.288944,0.309608,1.0501936681711963,1.071515587795559
Netherlands,2017,4,0.043274,0.047654,0.332218,0.357262,1.1012155104681796,1.0753842356524932
Netherlands,2017,5,0.032032,0.032337,0.36425,0.38959900000000003,1.0095217282717284,1.06959231297186
Netherlands,2017,6,0.077076,0.082761,0.441326,0.47236,1.0737583683636929,1.0703198995753707
Netherlands,2017,7,0.115172,0.124274,0.556498,0.596634,1.0790296252561387,1.0721224514733205
Netherlands,2017,8,0.093215,0.102408,0.649713,0.699042,1.0986214665021723,1.075924292726173
Netherlands,2017,9,0.088457,0.100834,0.73817,0.799876,1.13992109160383,1.0835932102361245
Netherlands,2017,10,0.116012,0.127249,0.854182,0.927125,1.096860669585905,1.0853951499797467
Netherlands,2017,11,0.15158,0.176935,1.005762,1.10406,1.1672714078374458,1.0977348517840204
Netherlands,2017,12,0.038552,0.044141,1.044314,1.148201,1.1449730234488482,1.0994787008505105
Netherlands,2018,1,0.212446,0.238022,0.212446,0.238022,1.120388239835064,1.120388239835064
Netherlands,2018,2,0.114611,0.126274,0.327057,0.364296,1.1017616110146495,1.11386088663444
Netherlands,2018,3,0.0804,0.080723,0.407457,0.445019,1.0040174129353234,1.0921864147627847
Netherlands,2018,4,0.115933,0.132602,0.52339,0.5776209999999999,1.1437813219704485,1.10361489520243
Netherlands,2018,5,0.02912,0.03062,0.55251,0.608241,1.051510989010989,1.100868762556334
Netherlands,2018,6,0.062348,0.06283,0.614858,0.671071,1.007730801308783,1.0914243613972656
Netherlands,2018,7,0.145275,0.151289,0.760133,0.82236,1.041397349853726,1.081863305500485
Netherlands,2018,8,0.076013,0.076647,0.836146,0.899007,1.0083406785681397,1.075179454305827
Netherlands,2018,9,0.08208,0.078918,0.918226,0.977925,0.9614766081871345,1.0650155843986122
Netherlands,2018,10,0.14796,0.139983,1.066186,1.117908,0.9460867802108677,1.0485112353754409
Netherlands,2018,11,0.05096,0.048026,1.117146,1.165934,0.942425431711146,1.0436719998997446
Netherlands,2018,12,0.082534,0.08324,1.1996799999999999,1.249174,1.008554050451935,1.0412560016004269
