Partner,Year,Month,NetWeight,TradeValue,CumulativeNetWeight,CumulativeTradeValue,UnitValue,CumulativeUnitValue
Netherlands,2017,4,0.250029,0.073073,0.272529,0.086147,0.29225809806062497,0.3161021395888144
Netherlands,2017,5,0.04955,0.025775,0.322079,0.111922,0.5201816347124117,0.3474985950651858
Netherlands,2017,7,0.17301,0.064538,0.495089,0.17646,0.37303046066701345,0.3564207647513881
Netherlands,2017,8,0.1825,0.075683,0.677589,0.252143,0.4147013698630137,0.372117906282422
Netherlands,2017,11,0.022,0.011929,0.699589,0.26407200000000003,0.5422272727272728,0.3774673415391037
Netherlands,2018,2,0.022992,0.012947,0.022992,0.012947,0.5631089074460682,0.5631089074460682
Netherlands,2018,3,7.5e-05,5.1e-05,0.023066999999999997,0.012998000000000001,0.68,0.5634889669224434
Netherlands,2018,4,0.250006,0.080695,0.273073,0.093693,0.3227722534659168,0.34310605588981696
Netherlands,2018,5,0.375011,0.116316,0.648084,0.210009,0.3101669017708814,0.32404595700557337
Netherlands,2018,6,0.384905,0.098974,1.032989,0.308983,0.2571387745027994,0.29911547944847433
Netherlands,2018,7,0.019998,0.011243,1.052987,0.320226,0.5622062206220623,0.3041120165776026
Netherlands,2018,8,0.719371,0.290298,1.772358,0.6105240000000001,0.4035442073700497,0.34446990957808754
Netherlands,2018,9,0.498418,0.190643,2.270776,0.801167,0.38249621803385914,0.35281639404326975
Netherlands,2018,10,0.770406,0.294393,3.041182,1.09556,0.38212708623764613,0.36024151135972793
Netherlands,2018,11,0.350515,0.145259,3.391697,1.2408190000000001,0.4144159308446143,0.365840167915943
Netherlands,2019,1,0.019992,0.011279,0.019992,0.011279,0.5641756702681073,0.5641756702681073
Netherlands,2019,3,0.095033,0.044244,0.115025,0.055523,0.465564593351783,0.4827037600521626
Netherlands,2019,4,2e-05,3.3e-05,0.11504500000000001,0.055555999999999994,1.65,0.4829066886870354
Netherlands,2019,5,0.100083,0.048155,0.215128,0.103711,0.4811506449646793,0.48208973262429805
Netherlands,2019,7,0.09612,0.049728,0.311248,0.153439,0.5173533083645443,0.49297987456947506
Netherlands,2019,9,3.351328,1.293254,3.662576,1.4466929999999998,0.3858929952544185,0.39499330525837545
Netherlands,2019,10,0.018,0.012119,3.680576,1.458812,0.6732777777777778,0.3963542662887548
Netherlands,2019,11,0.057,0.018433,3.7375760000000002,1.477245,0.3233859649122807,0.3952414613107532
Netherlands,2020,1,0.023004,0.013909,0.023004,0.013909,0.6046339766997044,0.6046339766997044
Netherlands,2020,4,0.136982,0.051941,0.159986,0.06585,0.3791812062898775,0.41159851487005117
Netherlands,2020,5,0.171517,0.070291,0.331503,0.136141,0.4098194348082115,0.41067803307964035
Netherlands,2020,6,0.085501,0.028583,0.417004,0.164724,0.3343001836235834,0.3950177935943061
Netherlands,2020,7,0.307203,0.129414,0.724207,0.294138,0.4212654173299089,0.4061518322799973
Netherlands,2020,9,3.62766,1.648713,4.351867,1.942851,0.45448388217197866,0.44644080345286286
Netherlands,2020,10,3e-06,7e-06,4.35187,1.9428580000000002,2.333333333333333,0.4464421041988847
Netherlands,2020,12,1.724465,0.721876,6.076335,2.664734,0.41860866993531326,0.43854297039251455
Netherlands,2021,1,0.022992,0.014402,0.022992,0.014402,0.6263917884481559,0.6263917884481559
Netherlands,2021,2,2.7451,1.179953,2.7680919999999998,1.194355,0.429839714400204,0.43147229210589827
Netherlands,2021,3,0.071,0.059328,2.839092,1.253683,0.8356056338028169,0.4415788569021364
Netherlands,2021,4,0.239001,0.122073,3.078093,1.375756,0.510763553290572,0.4469507581479832
Netherlands,2021,5,0.044772,0.024965,3.1228649999999996,1.400721,0.5576029661395515,0.4485371605881139
Netherlands,2021,6,0.271637,0.125746,3.3945019999999997,1.526467,0.46291926357602237,0.44968805438912696
Netherlands,2021,8,0.02295,0.013024,3.417452,1.5394910000000002,0.5674945533769064,0.45047918741799453
Portugal,2016,11,4.96237,1.684514,4.96237,1.684514,0.33945755757833457,0.33945755757833457
Portugal,2016,12,5.80856,1.992386,10.77093,3.6769,0.3430085942126792,0.341372564857445
Portugal,2017,4,3.32938,1.111325,3.32938,1.111325,0.3337933789474316,0.3337933789474316
Portugal,2018,2,0.025,0.010907,0.025,0.010907,0.43628,0.43628
Portugal,2018,4,1.25,0.473531,1.275,0.484438,0.37882479999999996,0.3799513725490196
Portugal,2018,5,1.725,0.631592,3.0,1.11603,0.36614028985507246,0.37201
Portugal,2018,6,0.75,0.287079,3.75,1.403109,0.38277199999999995,0.3741624
Portugal,2018,9,6.35213,2.583653,10.102129999999999,3.9867619999999997,0.40673805479421865,0.39464568363305563
Portugal,2018,11,1e-06,0.000178,10.102131,3.9869399999999997,178.0,0.3946632646121892
Portugal,2018,12,0.825,0.331546,10.927131,4.318486,0.40187393939393945,0.3952076716203
Portugal,2019,1,0.25,0.099608,0.25,0.099608,0.398432,0.398432
Portugal,2019,6,6.0834,2.484355,6.3334,2.583963,0.4083826478613933,0.4079898632645972
